net,length_um
clknet_0_clk,312.56
net2,298.92
_0322_,278.68
_0305_,254.53
net5,253.33
_0167_,243.74
_0337_,237.38
_0156_,237.15
net7,231.94
_0175_,229.56
_0180_,229.11
_0177_,212.42
_0170_,211.74
_0388_,211.68
_0306_,211.12
_0179_,210.49
_0440_,210.02
_0201_,209.74
_0199_,207.12
_0314_,207.08
_0164_,205.5
_0430_,203.84
_0470_,200.94
_0326_,200.55
_0185_,199.83
_0368_,198.4
_0348_,197.54
_0450_,196.565
net1,190.67
_0159_,188.71
_0188_,187.81
_0318_,187.48
_0460_,186.98
net8,186.94
_0400_,185.27
_0190_,181.68
_0308_,180.04
net10,178.92
_0195_,178.13
net3,174.14
_0320_,173.52
_0310_,173.08
_0187_,170.23
_0358_,168.62
_0312_,165.38
net9,160.6
_0316_,155.88
_0420_,150.94
net4,149.06
clk,146.87
net6,137.62
_0410_,134.4
_0378_,130.54
net11,127.4
_0233_,121.96
clknet_4_10_0_clk,118.38
clknet_4_5_0_clk,116.195
clknet_4_2_0_clk,115.58
clknet_4_15_0_clk,110.12
net23,98.54
clknet_4_13_0_clk,98.1
clknet_4_7_0_clk,95.94
net20,94.56
net25,94.06
clknet_4_1_0_clk,92.98
net22,92.82
_0292_,92.26
net27,89.62
clknet_4_11_0_clk,86.88
net19,83.64
clknet_4_0_0_clk,82.88
net26,82.68
clknet_4_4_0_clk,82.64
_0173_,80.04
net17,77.62
clknet_4_3_0_clk,76.66
clknet_4_8_0_clk,74.54
net13,74.32
_0277_,73.88
_0174_,73
_0197_,73
_0211_,72.92
_0255_,71.12
_0155_,71.045
_0266_,70.66
clknet_4_9_0_clk,70.52
net15,69.62
_0244_,68.36
_0168_,67.46
_0324_,67.28
net21,67.12
clknet_4_6_0_clk,66.6
_0160_,65.42
_0165_,65.185
_0278_,64.42
_0157_,63.815
clknet_4_14_0_clk,62.92
_0193_,60.12
_0162_,59.595
net24,56.44
_0222_,55.22
_0346_,52.44
net14,51.78
_0161_,51.615
_0191_,50.56
net28,47.96
net173,47.7
_0169_,45.02
_0293_,40.2
_0272_,39.42
clknet_4_12_0_clk,38.04
_0200_,35.9
_0276_,33.56
_0323_,33.02
_0228_,32.74
net18,30.28
_0208_,29.16
_0254_,28.98
_0239_,28.58
net12,28.4
stack\[13\]\[0\],27.94
_0243_,27.34
top\[1\],27.34
_0479_,25.88
_0335_,25.8
_0284_,24.93
net29,24
stack\[1\]\[1\],22.98
net16,22.38
_0230_,22.08
_0265_,22.04
top\[2\],22.02
_0261_,21.84
_0267_,21.78
_0249_,21.62
top\[0\],21.2
stack\[1\]\[7\],20.98
_0257_,20.9
_0216_,20.84
stack\[13\]\[6\],20.58
stack\[12\]\[2\],19.76
_0182_,19.715
stack\[8\]\[2\],19.24
stack\[8\]\[3\],19.14
stack\[5\]\[2\],19.12
_0206_,18.92
stack\[15\]\[5\],18.54
stack\[2\]\[4\],18.52
_0212_,18.36
_0221_,18.02
stack\[13\]\[5\],17.92
stack\[0\]\[3\],17.84
stack\[15\]\[4\],17.64
stack\[1\]\[6\],17.62
stack\[7\]\[7\],17.58
_0205_,17.5
stack\[9\]\[4\],17.44
_0271_,17.4
_0250_,16.98
_0189_,16.94
stack\[9\]\[0\],16.86
_0223_,16.8
_0273_,16.78
stack\[9\]\[1\],16.56
stack\[13\]\[7\],16.44
_0263_,16.28
stack\[0\]\[2\],16.24
stack\[14\]\[1\],16.2
stack\[13\]\[1\],16.12
top\[3\],16.12
stack\[15\]\[6\],16
stack\[3\]\[6\],16
stack\[1\]\[5\],15.88
stack\[12\]\[0\],15.65
stack\[1\]\[2\],15.615
stack\[1\]\[4\],15.525
_0246_,15.5
stack\[5\]\[7\],15.46
stack\[5\]\[4\],15.44
stack\[13\]\[4\],15.4
stack\[11\]\[2\],15.22
stack\[15\]\[2\],15.14
stack\[11\]\[4\],15.1
_0283_,15.06
stack\[9\]\[6\],15.02
_0280_,14.92
data_out[1],14.82
stack\[8\]\[1\],14.8
stack\[15\]\[3\],14.76
_0217_,14.72
stack\[9\]\[5\],14.68
net36,14.66
stack\[2\]\[6\],14.645
stack\[7\]\[1\],14.64
_0289_,14.6
_0181_,14.4
stack\[12\]\[5\],14.4
_0131_,14.365
stack\[5\]\[3\],14.26
_0295_,14.08
_0290_,13.92
_0234_,13.88
stack\[8\]\[5\],13.86
stack\[4\]\[5\],13.84
_0291_,13.835
stack\[7\]\[4\],13.76
stack\[14\]\[7\],13.62
stack\[4\]\[3\],13.5
stack\[10\]\[7\],13.46
error,13.3
stack\[6\]\[7\],13.22
stack\[14\]\[3\],13.06
_0219_,13.02
stack\[13\]\[3\],12.9
_0339_,12.86
stack\[4\]\[4\],12.84
stack\[8\]\[0\],12.8
stack\[12\]\[3\],12.72
stack\[8\]\[6\],12.64
net34,12.62
stack\[12\]\[6\],12.38
stack\[3\]\[0\],12.38
stack\[8\]\[4\],12.38
stack\[15\]\[7\],12.32
stack\[5\]\[5\],12.26
net42,12.12
_0214_,12.1
stack\[11\]\[1\],12.1
_0198_,11.94
stack\[11\]\[5\],11.88
_0260_,11.82
_0415_,11.82
_0429_,11.78
_0418_,11.74
_0224_,11.7
_0063_,11.625
_0355_,11.6
stack\[6\]\[0\],11.6
stack\[11\]\[3\],11.58
data_in[4],11.56
push,11.56
stack\[14\]\[5\],11.56
_0297_,11.44
stack\[7\]\[2\],11.44
stack\[9\]\[2\],11.42
_0158_,11.38
_0448_,11.32
_0268_,11.26
stack\[10\]\[0\],11.24
stack\[10\]\[5\],11.22
_0344_,11.14
stack\[10\]\[4\],11.12
data_in[5],11.1
data_in[6],11.1
_0302_,11
stack\[5\]\[1\],11
stack\[2\]\[2\],10.965
stack\[12\]\[7\],10.92
_0330_,10.9
stack\[7\]\[0\],10.84
_0269_,10.82
stack\[6\]\[2\],10.82
_0350_,10.8
_0454_,10.78
_0425_,10.66
stack\[11\]\[0\],10.66
stack\[5\]\[0\],10.66
net149,10.62
stack\[1\]\[3\],10.585
net38,10.56
empty,10.54
stack\[3\]\[4\],10.52
stack\[12\]\[4\],10.46
top\[4\],10.46
stack\[15\]\[1\],10.44
stack\[7\]\[6\],10.44
stack\[3\]\[3\],10.42
stack\[6\]\[1\],10.42
_0294_,10.4
_0389_,10.4
_0240_,10.2
stack\[11\]\[7\],10.16
_0071_,10.12
_0090_,10.025
_0033_,9.98
_0238_,9.98
stack\[5\]\[6\],9.98
_0394_,9.94
_0218_,9.88
_0137_,9.785
stack\[2\]\[1\],9.76
stack\[4\]\[0\],9.74
data_out[5],9.64
stack\[6\]\[4\],9.6
_0373_,9.52
_0192_,9.48
_0343_,9.42
_0431_,9.42
_0435_,9.42
stack\[12\]\[1\],9.42
net159,9.4
_0051_,9.385
stack\[10\]\[1\],9.34
stack\[0\]\[5\],9.28
stack\[8\]\[7\],9.26
net148,9.26
_0100_,9.225
_0163_,9.12
stack\[4\]\[7\],9.12
_0242_,9.06
_0225_,8.96
data_out[0],8.96
stack\[2\]\[0\],8.96
_0235_,8.94
_0236_,8.9
_0332_,8.9
_0432_,8.9
stack\[14\]\[0\],8.9
_0038_,8.86
data_in[1],8.84
stack\[3\]\[1\],8.82
net95,8.82
_0016_,8.805
net123,8.8
stack\[10\]\[3\],8.78
_0455_,8.76
stack\[15\]\[0\],8.66
stack\[3\]\[5\],8.58
stack\[11\]\[6\],8.56
_0204_,8.52
data_out[2],8.5
_0444_,8.48
stack\[6\]\[5\],8.48
stack\[9\]\[7\],8.48
net87,8.48
data_out[4],8.47
stack\[3\]\[2\],8.44
_0469_,8.4
stack\[10\]\[2\],8.36
_0347_,8.33
stack\[6\]\[3\],8.32
_0074_,8.305
_0066_,8.265
_0178_,8.26
stack\[7\]\[3\],8.24
_0049_,8.205
stack\[14\]\[4\],8.1
_0087_,8.085
stack\[6\]\[6\],8.08
_0229_,8.06
_0357_,8.06
_0453_,8.06
_0349_,8.02
_0439_,8.02
stack\[13\]\[2\],8.02
net154,8.02
_0213_,7.98
_0387_,7.98
net84,7.98
stack\[7\]\[5\],7.9
net140,7.88
_0220_,7.82
_0056_,7.645
_0275_,7.64
_0379_,7.64
stack\[10\]\[6\],7.62
full,7.58
stack\[3\]\[7\],7.55
_0340_,7.52
_0356_,7.52
_0474_,7.52
_0256_,7.48
_0252_,7.42
_0447_,7.4
_0052_,7.34
net100,7.34
_0463_,7.22
_0032_,7.18
_0231_,7.18
_0478_,7.18
stack\[0\]\[0\],7.18
net37,7.18
net164,7.18
_0375_,7.1
_0433_,7.1
_0436_,7.1
_0363_,7.08
_0042_,7.02
net51,7
stack\[0\]\[1\],6.94
net32,6.9
net165,6.9
_0150_,6.885
_0057_,6.88
net30,6.88
net45,6.88
_0370_,6.86
_0082_,6.825
_0028_,6.76
stack\[14\]\[2\],6.76
_0331_,6.74
stack\[9\]\[3\],6.74
_0406_,6.72
_0017_,6.705
_0434_,6.64
_0446_,6.64
_0466_,6.64
net83,6.64
net40,6.6
net78,6.6
_0227_,6.58
net58,6.54
_0352_,6.52
net116,6.5
_0176_,6.38
_0008_,6.37
_0073_,6.365
_0210_,6.32
data_in[3],6.31
_0317_,6.3
_0362_,6.3
_0381_,6.3
_0385_,6.3
_0402_,6.3
_0403_,6.3
_0452_,6.3
_0461_,6.3
_0209_,6.26
_0399_,6.26
stack\[0\]\[6\],6.26
stack\[4\]\[1\],6.26
_0144_,6.225
_0000_,6.18
_0186_,6.18
_0321_,6.18
_0338_,6.18
_0401_,6.18
net66,6.08
_0398_,6.07
_0468_,6.06
net137,6.04
stack\[1\]\[0\],5.98
net142,5.98
_0035_,5.945
_0034_,5.92
_0036_,5.905
stack\[2\]\[3\],5.9
_0279_,5.86
_0037_,5.845
_0264_,5.84
_0319_,5.84
_0372_,5.84
_0390_,5.84
_0471_,5.84
_0298_,5.8
stack\[0\]\[7\],5.8
_0376_,5.74
_0407_,5.74
_0459_,5.74
_0307_,5.72
_0367_,5.72
stack\[14\]\[6\],5.7
_0202_,5.68
_0122_,5.665
stack\[4\]\[2\],5.6
_0106_,5.58
net55,5.58
net70,5.58
net167,5.58
net168,5.58
net56,5.52
net161,5.52
net160,5.46
_0151_,5.435
data_out[7],5.41
pop,5.41
rst,5.41
_0360_,5.38
_0380_,5.38
_0384_,5.38
_0386_,5.38
_0404_,5.38
stack\[0\]\[4\],5.36
_0207_,5.34
_0465_,5.34
data_in[7],5.29
_0301_,5.28
stack\[2\]\[5\],5.265
_0288_,5.26
_0361_,5.26
_0422_,5.26
_0442_,5.26
_0473_,5.26
net47,5.26
net121,5.26
_0247_,5.22
_0467_,5.22
net124,5.22
_0059_,5.185
net106,5.16
net49,5.14
net92,5.14
_0126_,5.095
_0253_,5.06
_0116_,5.045
_0138_,5.045
data_in[0],4.95
_0105_,4.925
_0027_,4.92
_0309_,4.92
_0365_,4.92
_0395_,4.92
_0456_,4.92
_0075_,4.885
_0172_,4.88
_0183_,4.88
_0423_,4.88
_0007_,4.87
_0286_,4.86
_0101_,4.845
_0262_,4.82
_0311_,4.82
_0438_,4.82
_0215_,4.8
_0325_,4.8
_0427_,4.8
net41,4.8
net133,4.8
_0391_,4.76
_0053_,4.7
_0064_,4.7
net52,4.7
net69,4.7
net156,4.7
_0010_,4.68
net68,4.66
net153,4.66
data_in[2],4.61
_0044_,4.525
_0115_,4.525
_0303_,4.46
net103,4.46
_0476_,4.42
data_out[6],4.39
_0061_,4.385
_0091_,4.385
_0245_,4.36
_0353_,4.36
_0232_,4.34
_0329_,4.34
_0359_,4.34
_0392_,4.34
_0405_,4.34
_0413_,4.34
stack\[4\]\[6\],4.34
net80,4.34
data_out[3],4.27
_0046_,4.24
_0058_,4.24
_0135_,4.24
net158,4.24
_0196_,4.22
_0304_,4.2
net50,4.2
stack\[2\]\[7\],4.195
_0023_,4.145
net82,4.14
_0069_,4.12
_0287_,4.12
_0005_,4.08
_0047_,4.045
_0382_,4
net136,4
_0097_,3.965
_0119_,3.965
_0149_,3.925
_0050_,3.9
_0354_,3.9
_0393_,3.9
_0194_,3.88
_0457_,3.88
_0477_,3.88
net33,3.88
_0041_,3.805
_0040_,3.78
_0085_,3.78
_0104_,3.78
net163,3.78
_0124_,3.705
_0136_,3.705
_0043_,3.625
_0024_,3.56
_0409_,3.56
_0449_,3.56
_0026_,3.54
_0248_,3.54
_0282_,3.54
_0408_,3.54
_0437_,3.54
net146,3.54
_0006_,3.49
_0109_,3.44
_0451_,3.44
_0315_,3.42
_0342_,3.42
_0345_,3.42
net88,3.42
net129,3.42
net144,3.42
_0111_,3.405
_0072_,3.345
net59,3.32
net104,3.32
net110,3.32
_0114_,3.225
net67,3.22
net75,3.22
_0296_,3.18
_0129_,3.145
_0054_,3.125
_0281_,3.1
_0171_,3.08
_0299_,3.08
_0300_,3.08
_0421_,3.08
_0424_,3.08
net132,3.08
net138,3.08
_0154_,3.045
_0113_,2.98
_0313_,2.96
_0462_,2.96
_0472_,2.96
net60,2.96
net79,2.96
net143,2.96
_0018_,2.945
_0001_,2.89
_0088_,2.885
_0120_,2.885
_0125_,2.885
_0121_,2.88
net71,2.86
net86,2.86
net90,2.86
net122,2.86
net134,2.86
_0002_,2.84
_0013_,2.84
_0045_,2.835
_0060_,2.785
_0143_,2.785
net46,2.76
net73,2.76
net118,2.76
_0009_,2.69
_0383_,2.62
net39,2.62
_0145_,2.595
_0103_,2.585
_0055_,2.545
_0128_,2.545
_0134_,2.545
_0251_,2.52
_0369_,2.52
_0411_,2.52
_0426_,2.52
_0079_,2.485
_0086_,2.485
_0089_,2.485
_0094_,2.485
_0107_,2.485
_0130_,2.485
_0021_,2.42
_0068_,2.42
_0095_,2.42
_0108_,2.42
net57,2.4
net101,2.4
net105,2.4
net109,2.4
net151,2.4
net152,2.4
_0077_,2.375
_0093_,2.375
_0148_,2.375
_0070_,2.325
_0132_,2.325
_0133_,2.325
net44,2.3
net48,2.3
net53,2.3
net54,2.3
net61,2.3
net62,2.3
net72,2.3
net74,2.3
net76,2.3
net77,2.3
net89,2.3
net91,2.3
net93,2.3
net94,2.3
net97,2.3
net99,2.3
net107,2.3
net108,2.3
net114,2.3
net115,2.3
net117,2.3
net125,2.3
net126,2.3
net127,2.3
net128,2.3
net139,2.3
net141,2.3
net166,2.3
net169,2.3
_0112_,2.255
_0127_,2.255
_0011_,2.23
_0012_,2.23
_0022_,2.18
_0031_,2.18
_0259_,2.16
_0377_,2.16
_0419_,2.16
_0428_,2.16
net31,2.16
_0015_,2.135
_0078_,2.135
_0117_,2.085
_0146_,2.08
_0327_,2.06
_0328_,2.06
_0334_,2.06
_0341_,2.06
_0351_,2.06
_0364_,2.06
_0371_,2.06
_0374_,2.06
_0396_,2.06
_0412_,2.06
_0416_,2.06
_0336_,2.04
_0366_,2.04
_0458_,2.04
_0014_,2.025
_0020_,2.025
_0039_,2.025
_0048_,2.025
_0065_,2.025
_0076_,2.025
_0080_,2.025
_0081_,2.025
_0084_,2.025
_0098_,2.025
_0110_,2.025
_0118_,2.025
_0139_,2.025
_0147_,2.025
_0184_,1.94
net63,1.94
net64,1.94
net65,1.94
net81,1.94
net85,1.94
net98,1.94
net102,1.94
net170,1.94
_0142_,1.915
_0019_,1.865
_0062_,1.865
_0067_,1.865
_0092_,1.865
_0096_,1.865
_0099_,1.865
_0102_,1.865
_0123_,1.865
_0140_,1.865
_0141_,1.865
_0152_,1.865
_0153_,1.865
_0397_,1.84
net111,1.84
net112,1.84
net130,1.84
net131,1.84
net135,1.84
net145,1.84
net147,1.84
net150,1.84
net157,1.84
net171,1.84
net172,1.84
net35,1.82
net113,1.82
_0003_,1.75
_0025_,1.7
_0030_,1.7
net43,1.7
_0226_,1.6
_0333_,1.6
_0241_,1.48
net120,1.48
net155,1.48
net162,1.48
_0083_,1.46
_0004_,1.36
_0166_,1.26
_0237_,1.26
_0270_,1.26
_0203_,1.14
_0258_,1.14
_0414_,1.14
_0417_,1.14
_0441_,1.14
_0443_,1.14
_0445_,1.14
_0464_,1.14
_0475_,1.14
net96,1.02
net119,1.02
_0029_,0.8
_0274_,0.46
_0285_,0.46
